imageSetLvl,imageSetName,refSetNumber,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_3.started,text_3.stopped,Trial No.,Comp Side,Ref Num,Level List,Bounce Num,Staircase,Scene No,comp>ref?,leftImagePortrait.started,leftImagePortrait.stopped,ISI.started,ISI.stopped,rightImagePortrait.started,rightImagePortrait.stopped,text_2.started,text_2.stopped,resp.keys,resp.rt,resp.started,resp.stopped,participant,date,expName,psychopyVersion,frameRate,
1,barber,7,0,0,0,0,0,0,0,0,5.97635569999693,None,7.314562300001853,None,1,-1,7,21,21,0,2,1,9.90353869998944,14.90640949999215,0.008971689996542409,0.5089716899965424,9.90353869998944,14.90640949999215,14.889650500001153,None,left,0.3199654000054579,14.889650500001153,None,,2021_Feb_22_1450,InterleavedStaircase,2020.2.10,59.97145359238923,
1,barber,7,0,0,0,0,1,0,1,0,,,,,2,1,7,18.375,18,0,2,1,15.871312799994485,20.885252799998852,0.009676230009063147,0.5096762300090631,15.871312799994485,20.885252799998852,20.86858699998993,None,right,0.36528769999858923,20.86858699998993,None,,2021_Feb_22_1450,InterleavedStaircase,2020.2.10,59.97145359238923,
1,barber,7,0,0,0,0,2,0,2,0,,,,,3,1,7,15.75,16,0,2,1,21.850340099990717,26.86361410000245,0.0004831899859709665,0.500483189985971,21.850340099990717,26.86361410000245,26.86361410000245,None,right,0.3629172000073595,26.86361410000245,None,,2021_Feb_22_1450,InterleavedStaircase,2020.2.10,59.97145359238923,
1,barber,7,0,0,0,0,3,0,3,0,,,,,1,1,7,21,21,0,3,0,27.82930739999574,32.84233369999856,0.016256790011539124,0.5162567900115391,27.82930739999574,32.84233369999856,32.82580999999482,None,left,0.2434964999993099,32.82580999999482,None,,2021_Feb_22_1450,InterleavedStaircase,2020.2.10,59.97145359238923,
1,barber,7,0,0,0,0,4,0,4,0,,,,,2,1,7,21,21,0,3,0,33.65737739999895,38.67107699999178,0.0019282499997643754,0.5019282499997644,33.65737739999895,38.67107699999178,38.65414990000136,None,left,0.38134429999627173,38.65414990000136,None,,2021_Feb_22_1450,InterleavedStaircase,2020.2.10,59.97145359238923,
1,barber,7,0,0,0,0,5,0,5,0,,,,,1,-1,7,21,21,0,1,1,39.636406999998144,44.64922929999011,0.007686020006076433,0.5076860200060764,39.636406999998144,44.64922929999011,44.63278929999797,None,left,0.2707601000001887,44.63278929999797,None,,2021_Feb_22_1450,InterleavedStaircase,2020.2.10,59.97145359238923,
1,barber,7,0,0,0,0,6,0,6,0,,,,,2,-1,7,18.375,18,0,1,1,45.51768569998967,50.52799519999826,0.012145489992690273,0.5121454899926903,45.51768569998967,50.52799519999826,50.511216599988984,None,left,0.26970560000336263,50.511216599988984,None,,2021_Feb_22_1450,InterleavedStaircase,2020.2.10,59.97145359238923,
1,barber,7,0,0,0,0,7,0,7,0,,,,,3,1,7,21,21,0,3,0,51.39292299999215,56.406574299995555,0.0023971199989318848,0.5023971199989319,51.39292299999215,56.406574299995555,56.389592199993785,None,left,0.297985899989726,56.389592199993785,None,,2021_Feb_22_1450,InterleavedStaircase,2020.2.10,59.97145359238923,
1,barber,7,0,0,0,0,8,0,8,0,,,,,3,1,7,15.75,16,0,1,1,57.28826339999796,62.301510399993276,0.004677620003349148,0.5046776200033491,57.28826339999796,62.301510399993276,62.284926799999084,None,right,0.4717149999924004,62.284926799999084,None,,2021_Feb_22_1450,InterleavedStaircase,2020.2.10,59.97145359238923,
1,barber,7,0,0,0,0,9,0,9,0,,,,,4,1,7,21,21,0,3,1,63.3661654000025,68.3804311999993,0.0162979899905622,0.5162979899905622,63.3661654000025,68.3804311999993,68.36355219999678,None,right,4.230368899996392,68.36355219999678,None,,2021_Feb_22_1450,InterleavedStaircase,2020.2.10,59.97145359238923,
1,barber,7,0,0,0,0,10,0,10,0,,,,,1,1,7,0,0,1,1,0,73.19163629999093,78.20514299999923,0.005548220011405647,0.5055482200114056,73.19163629999093,78.20514299999923,78.18840030000138,None,left,0.26368340000044554,78.18840030000138,None,,2021_Feb_22_1450,InterleavedStaircase,2020.2.10,59.97145359238923,
1,barber,7,0,0,0,0,11,0,11,0,,,,,1,1,7,0,0,1,3,0,79.05349109999952,84.06663309999567,0.0037836200062884018,0.5037836200062884,79.05349109999952,84.06663309999567,84.05005639999581,None,left,0.6538647999987006,84.05005639999581,None,,2021_Feb_22_1450,InterleavedStaircase,2020.2.10,59.97145359238923,
1,barber,7,0,0,0,0,12,0,12,0,,,,,4,1,7,14.0,14,0,1,1,85.34776730000158,90.36043159999826,0.010588959994493052,0.510588959994493,85.34776730000158,90.36043159999826,90.327120499991,None,right,0.3351312000013422,90.327120499991,None,,2021_Feb_22_1450,InterleavedStaircase,2020.2.10,59.97145359238923,
1,barber,7,0,0,0,0,13,0,13,0,,,,,2,-1,7,2.625,3,1,1,0,91.26327599999786,96.27349059999688,0.013186190015403554,0.5131861900154036,91.26327599999786,96.27349059999688,96.25662289999309,None,right,0.3235640000057174,96.25662289999309,None,,2021_Feb_22_1450,InterleavedStaircase,2020.2.10,59.97145359238923,
1,barber,7,0,0,0,0,14,0,14,0,,,,,2,-1,7,2.625,3,1,3,1,97.1893793999916,102.20168059998832,0.015241289991536178,0.5152412899915362,97.1893793999916,102.20168059998832,102.18491889999132,None,left,0.2695114999951329,102.18491889999132,None,,2021_Feb_22_1450,InterleavedStaircase,2020.2.10,59.97145359238923,
1,barber,7,0,0,0,0,15,0,15,0,,,,,1,-1,7,0,0,1,2,0,103.06699359999038,108.07937599999423,0.015872789997956716,0.5158727899979567,103.06699359999038,108.07937599999423,108.06390039999678,None,right,0.3008663000073284,108.06390039999678,None,,2021_Feb_22_1450,InterleavedStaircase,2020.2.10,59.97145359238923,
1,barber,7,0,0,0,0,16,0,16,0,,,,,3,-1,7,3.9375,4,1,1,0,108.99558229999093,114.00916039998992,0.0004806600045412779,0.5004806600045413,108.99558229999093,114.00916039998992,114.00916039998992,None,right,0.2957460000034189,114.00916039998992,None,,2021_Feb_22_1450,InterleavedStaircase,2020.2.10,59.97145359238923,
1,barber,7,0,0,0,0,17,0,17,0,,,,,2,1,7,2.625,3,1,2,0,114.92406439999468,119.9374320999923,0.009187489995383658,0.5091874899953837,114.92406439999468,119.9374320999923,119.92092639999464,None,left,0.3538659000041662,119.92092639999464,None,,2021_Feb_22_1450,InterleavedStaircase,2020.2.10,59.97145359238923,
1,barber,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Feb_22_1450,InterleavedStaircase,2020.2.10,59.97145359238923,
,,,,,,,,,,,,,120.30365940000047,None,,,,,,,,,,,,,,,,,,,,,,,,,,
